Date,FY17,FY18,FY19,FY20,
31-Dec,7649,8640,7686,,
1-Jan,7595,8719,8537,,
2-Jan,7595,8555,7749,,
3-Jan,7595,8455,7718,,
4-Jan,7991,9878,8064,,
5-Jan,8837,10219,7560,,
6-Jan,9035,9645,9198,,
7-Jan,8441,9387,9860,,
8-Jan,8783,10874,9671,,
9-Jan,9683,10754,9860,,
10-Jan,9629,10634,9608,,
11-Jan,10331,10949,9608,,
12-Jan,10277,12077,8663,,
13-Jan,9287,9752,8316,,
14-Jan,8441,9116,8379,,
15-Jan,8243,9028,9576,,
16-Jan,8243,10697,9734,,
17-Jan,9575,11296,9891,,
18-Jan,10367,10962,9828,,
19-Jan,9881,11327,9135,,
20-Jan,9773,10112,9482,,
21-Jan,9035,10861,10112,,
22-Jan,9827,13123,11309,,
23-Jan,11663,12991,11750,,
24-Jan,11267,12191,11687,,
25-Jan,11915,12468,10899,,
26-Jan,11574,12575,9891,,
27-Jan,10925,11246,10269,,
28-Jan,9683,11246,11246,,
29-Jan,10080,12260,11151,,
30-Jan,11069,11555,11624,,
31-Jan,11771,11520,11844,,
1-Feb,11663,12291,11529,,
2-Feb,11321,12493,10017,,
3-Feb,10979,11271,10773,,
4-Feb,9881,11075,12348,,
5-Feb,10080,12745,13703,,
6-Feb,12059,12228,12348,,
7-Feb,13661,12556,12096,,
8-Feb,12311,12707,12128,,
9-Feb,11015,12663,9828,,
10-Feb,10727,11453,9923,,
11-Feb,10026,11876,11277,,
12-Feb,10223,12039,11277,,
13-Feb,11520,12172,11970,,
14-Feb,11574,12493,11781,,
15-Feb,11446,14402,12600,,
16-Feb,11069,12865,10584,,
17-Feb,11123,10962,9986,,
18-Feb,10871,10735,11907,,
19-Feb,10871,11945,11183,,
20-Feb,12311,13929,9639,,
21-Feb,11915,14282,12096,,
22-Feb,12995,12512,11718,,
23-Feb,12906,11592,10238,,
24-Feb,12455,11082,10742,,
25-Feb,11321,11195,12128,,
26-Feb,9773,12241,11750,,
27-Feb,11771,12909,11813,,
28-Feb,11915,13136,12096,,
1-Mar,12906,12569,11183,,
2-Mar,11069,10307,10301,,
3-Mar,10781,10546,10521,,
4-Mar,9377,10351,11529,,
5-Mar,9431,11838,11624,,
6-Mar,11520,12455,11876,,
7-Mar,12257,12039,11844,,
8-Mar,11969,11819,11025,,
9-Mar,12455,12115,9513,,
10-Mar,10925,10571,9765,,
11-Mar,8837,9450,10679,,
12-Mar,8045,10351,10112,,
13-Mar,9521,10420,10805,,
14-Mar,8387,10685,11183,,
15-Mar,9683,10408,11970,,
16-Mar,9377,10666,9608,,
17-Mar,9377,9702,10238,,
18-Mar,9773,10956,11970,,
19-Mar,8837,12436,12002,,
20-Mar,10781,11901,12285,,
21-Mar,11861,9614,12222,,
22-Mar,11123,12575,11718,,
23-Mar,11321,12027,11309,,
24-Mar,11574,10786,11655,,
25-Mar,10673,11063,12411,,
26-Mar,9683,12569,11687,,
27-Mar,12815,12052,12065,,
28-Mar,12852,13104,12506,,
29-Mar,12059,13287,12726,,
30-Mar,11717,12827,11844,,
31-Mar,10673,10905,10805,,
1-Apr,10134,10590,12065,,
2-Apr,9935,11680,11970,,
3-Apr,12023,11718,12884,,
4-Apr,13049,13091,13073,,
5-Apr,12311,11844,11529,,
6-Apr,12113,12424,11214,,
7-Apr,10673,9885,11183,,
8-Apr,10673,10477,13640,,
9-Apr,10925,12153,12663,,
10-Apr,13463,11850,12443,,
11-Apr,13499,12216,12348,,
12-Apr,13247,13350,12569,,
13-Apr,12113,13444,11781,,
14-Apr,12257,12726,11876,,
15-Apr,11663,10723,12033,,
16-Apr,12311,12096,12033,,
17-Apr,12617,11699,12506,,
18-Apr,12563,13117,13671,,
19-Apr,11717,12695,13671,,
20-Apr,13211,12884,12002,,
21-Apr,13355,11346,10395,,
22-Apr,12761,11800,12317,,
23-Apr,10277,13211,13671,,
24-Apr,11807,12713,13514,,
25-Apr,11969,12833,12695,,
26-Apr,12203,12821,12506,,
27-Apr,14184,12380,11151,,
28-Apr,13445,11781,10836,,
29-Apr,12653,10679,12695,,
30-Apr,13103,12928,13829,,
1-May,14489,13136,12852,,
2-May,13301,14263,15152,,
3-May,12509,14761,14931,,
4-May,12401,15315,12506,,
5-May,12798,12014,12348,,
6-May,11825,11800,13640,,
7-May,10080,13577,14301,,
8-May,11466,13438,13514,,
9-May,11663,13621,13892,,
10-May,12257,14175,14459,,
11-May,11520,13734,11592,,
12-May,11064,13816,10206,,
13-May,10026,12468,11561,,
14-May,10421,14755,11466,,
15-May,11609,15290,12033,,
16-May,12563,14144,12033,,
17-May,13949,13425,12222,,
18-May,13949,12682,11939,,
19-May,13949,10893,11655,,
20-May,11879,11775,13986,,
21-May,9089,12575,11057,,
22-May,11069,12487,10836,,
23-May,10475,12934,12380,,
24-May,11069,12241,11655,,
25-May,11321,12713,10836,,
26-May,10565,12317,11781,,
27-May,10169,12222,11183,,
28-May,10026,10559,13356,,
29-May,10223,13986,13608,,
30-May,11267,13230,13451,,
31-May,12113,13476,12695,,
1-Jun,11717,13539,11561,,
2-Jun,11861,12644,11781,,
3-Jun,10277,11094,11561,,
4-Jun,10817,11460,11592,,
5-Jun,12167,12077,13010,,
6-Jun,11466,12241,13671,,
7-Jun,11412,12562,12947,,
8-Jun,11069,13199,11214,,
9-Jun,11717,12537,10962,,
10-Jun,11267,11819,12348,,
11-Jun,11915,11989,11750,,
12-Jun,13805,11850,11592,,
13-Jun,13751,13627,11813,,
14-Jun,13751,12581,11309,,
