Housing Location,Type of Energy,,,Start Date,End Date,,Usage,Unit,Cost,,
Adams Hall,Electric,ADAMSHALLDEM01,201507,6/30/2015,7/31/2015,ADAMSHALLDEM01,"23,806 ",KWH,"$1,396.41 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201508,7/31/2015,8/27/2015,ADAMSHALLDEM01,"18,185 ",KWH,"$1,102.72 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201509,8/27/2015,9/29/2015,ADAMSHALLDEM01,"30,485 ",KWH,"$1,783.52 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201510,9/29/2015,10/28/2015,ADAMSHALLDEM01,"23,579 ",KWH,"$1,409.90 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201511,10/28/2015,12/1/2015,ADAMSHALLDEM01,"24,257 ",KWH,"$1,467.19 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201512,12/1/2015,12/31/2015,ADAMSHALLDEM01,"19,619 ",KWH,"$1,239.38 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201601,12/31/2015,2/1/2016,ADAMSHALLDEM01,"21,194 ",KWH,"$1,325.83 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201602,2/1/2016,3/1/2016,ADAMSHALLDEM01,"21,697 ",KWH,"$1,324.14 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201603,3/1/2016,3/31/2016,ADAMSHALLDEM01,"20,287 ",KWH,"$1,302.40 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201604,3/31/2016,4/29/2016,ADAMSHALLDEM01,"22,117 ",KWH,"$1,332.55 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201605,4/29/2016,5/31/2016,ADAMSHALLDEM01,"20,714 ",KWH,"$1,288.39 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201606,5/31/2016,6/29/2016,ADAMSHALLDEM01,"16,624 ",KWH,$997.97 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201507,6/30/2015,7/31/2015,AMHERSTHALLDEM01,"11,400 ",KWH,$668.70 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201508,7/31/2015,8/27/2015,AMHERSTHALLDEM01,"9,440 ",KWH,$572.43 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201509,8/27/2015,9/29/2015,AMHERSTHALLDEM01,"17,212 ",KWH,"$1,006.99 ",,
Amherst Hall,Electric,AMHERSTHALLDEM01,201510,9/29/2015,10/28/2015,AMHERSTHALLDEM01,"14,918 ",KWH,$892.02 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201511,10/28/2015,12/1/2015,AMHERSTHALLDEM01,"16,836 ",KWH,"$1,018.33 ",,
Amherst Hall,Electric,AMHERSTHALLDEM01,201512,12/1/2015,12/31/2015,AMHERSTHALLDEM01,"12,505 ",KWH,$789.97 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201601,12/31/2015,2/1/2016,AMHERSTHALLDEM01,"12,675 ",KWH,$792.91 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201602,2/1/2016,3/1/2016,AMHERSTHALLDEM01,"14,437 ",KWH,$881.07 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201603,3/1/2016,3/31/2016,AMHERSTHALLDEM01,"13,398 ",KWH,$860.13 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201604,3/31/2016,4/29/2016,AMHERSTHALLDEM01,"13,158 ",KWH,$792.77 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201605,4/29/2016,5/31/2016,AMHERSTHALLDEM01,"10,595 ",KWH,$659.00 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201606,5/31/2016,6/29/2016,AMHERSTHALLDEM01,"10,087 ",KWH,$605.54 ,,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201507,6/30/2015,7/31/2015,BLUERIDGE/SANDBRIDGEDEM01,"78,191 ",KWH,"$4,586.53 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201508,7/31/2015,8/27/2015,BLUERIDGE/SANDBRIDGEDEM01,"64,497 ",KWH,"$3,911.04 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201509,8/27/2015,9/29/2015,BLUERIDGE/SANDBRIDGEDEM01,"111,614 ",KWH,"$6,529.96 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201510,9/29/2015,10/28/2015,BLUERIDGE/SANDBRIDGEDEM01,"104,915 ",KWH,"$6,273.38 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201511,10/28/2015,12/1/2015,BLUERIDGE/SANDBRIDGEDEM01,"115,768 ",KWH,"$7,002.23 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201512,12/1/2015,12/31/2015,BLUERIDGE/SANDBRIDGEDEM01,"92,582 ",KWH,"$5,848.62 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201601,12/31/2015,2/1/2016,BLUERIDGE/SANDBRIDGEDEM01,"97,449 ",KWH,"$6,096.11 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201602,2/1/2016,3/1/2016,BLUERIDGE/SANDBRIDGEDEM01,"105,355 ",KWH,"$6,429.67 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201603,3/1/2016,3/31/2016,BLUERIDGE/SANDBRIDGEDEM01,"101,660 ",KWH,"$6,526.42 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201604,3/31/2016,4/29/2016,BLUERIDGE/SANDBRIDGEDEM01,"99,960 ",KWH,"$6,022.59 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201605,4/29/2016,5/31/2016,BLUERIDGE/SANDBRIDGEDEM01,"91,577 ",KWH,"$5,696.00 ",,
Blueridge/Sandbridge,Electric,BLUERIDGE/SANDBRIDGEDEM01,201606,5/31/2016,6/29/2016,BLUERIDGE/SANDBRIDGEDEM01,"65,735 ",KWH,"$3,946.21 ",,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201507,6/30/2015,7/31/2015,BRUNSWICKHALLDEM01,"6,186 ",KWH,$362.86 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201508,7/31/2015,8/27/2015,BRUNSWICKHALLDEM01,"4,400 ",KWH,$266.81 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201509,8/27/2015,9/29/2015,BRUNSWICKHALLDEM01,"17,403 ",KWH,"$1,018.16 ",,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201510,9/29/2015,10/28/2015,BRUNSWICKHALLDEM01,"10,066 ",KWH,$601.90 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201511,10/28/2015,12/1/2015,BRUNSWICKHALLDEM01,"18,008 ",KWH,"$1,089.21 ",,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201512,12/1/2015,12/31/2015,BRUNSWICKHALLDEM01,"13,687 ",KWH,$864.64 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201601,12/31/2015,2/1/2016,BRUNSWICKHALLDEM01,"14,522 ",KWH,$908.45 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201602,2/1/2016,3/1/2016,BRUNSWICKHALLDEM01,"15,536 ",KWH,$948.14 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201603,3/1/2016,3/31/2016,BRUNSWICKHALLDEM01,"14,775 ",KWH,$948.53 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201604,3/31/2016,4/29/2016,BRUNSWICKHALLDEM01,"17,083 ",KWH,"$1,029.25 ",,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201605,4/29/2016,5/31/2016,BRUNSWICKHALLDEM01,"13,599 ",KWH,$845.85 ,,
Brunswick Hall,Electric,BRUNSWICKHALLDEM,201606,5/31/2016,6/29/2016,BRUNSWICKHALLDEM01,"11,284 ",KWH,$677.40 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201507,6/30/2015,7/31/2015,CARROLLHALLDEM01,"6,185 ",KWH,$362.80 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201508,7/31/2015,8/27/2015,CARROLLHALLDEM01,"4,290 ",KWH,$260.14 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201509,8/27/2015,9/29/2015,CARROLLHALLDEM01,"17,124 ",KWH,"$1,001.84 ",,
Carroll Hall,Electric,CARROLHALLDEM01,201510,9/29/2015,10/28/2015,CARROLLHALLDEM01,"10,255 ",KWH,$613.20 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201511,10/28/2015,12/1/2015,CARROLLHALLDEM01,"16,728 ",KWH,"$1,011.79 ",,
Carroll Hall,Electric,CARROLHALLDEM01,201512,12/1/2015,12/31/2015,CARROLLHALLDEM01,"12,264 ",KWH,$774.75 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201601,12/31/2015,2/1/2016,CARROLLHALLDEM01,"13,385 ",KWH,$837.32 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201602,2/1/2016,3/1/2016,CARROLLHALLDEM01,"15,281 ",KWH,$932.58 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201603,3/1/2016,3/31/2016,CARROLLHALLDEM01,"13,969 ",KWH,$896.79 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201604,3/31/2016,4/29/2016,CARROLLHALLDEM01,"13,967 ",KWH,$841.51 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201605,4/29/2016,5/31/2016,CARROLLHALLDEM01,"11,712 ",KWH,$728.48 ,,
Carroll Hall,Electric,CARROLHALLDEM01,201606,5/31/2016,6/29/2016,CARROLLHALLDEM01,"10,434 ",KWH,$626.37 ,,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201507,6/30/2015,7/31/2015,COMMONWEALTHHALLDEM01,"38,380 ",KWH,"$2,251.30 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201508,7/31/2015,8/27/2015,COMMONWEALTHHALLDEM01,"32,037 ",KWH,"$1,942.70 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201509,8/27/2015,9/29/2015,COMMONWEALTHHALLDEM01,"52,786 ",KWH,"$3,088.24 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201510,9/29/2015,10/28/2015,COMMONWEALTHHALLDEM01,"43,825 ",KWH,"$2,620.51 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201511,10/28/2015,12/1/2015,COMMONWEALTHHALLDEM01,"48,152 ",KWH,"$2,912.48 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201512,12/1/2015,12/31/2015,COMMONWEALTHHALLDEM01,"40,775 ",KWH,"$2,575.85 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201601,12/31/2015,2/1/2016,COMMONWEALTHHALLDEM01,"43,979 ",KWH,"$2,751.19 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201602,2/1/2016,3/1/2016,COMMONWEALTHHALLDEM01,"47,353 ",KWH,"$2,889.89 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201603,3/1/2016,3/31/2016,COMMONWEALTHHALLDEM01,"44,070 ",KWH,"$2,829.23 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201604,3/31/2016,4/29/2016,COMMONWEALTHHALLDEM01,"40,992 ",KWH,"$2,469.77 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201605,4/29/2016,5/31/2016,COMMONWEALTHHALLDEM01,"33,675 ",KWH,"$2,094.55 ",,
Commonwealth Hall,Electric,COMMONWEALTHHALLDEM01,201606,5/31/2016,6/29/2016,COMMONWEALTHHALLDEM01,"31,273 ",KWH,"$1,877.38 ",,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201507,6/30/2015,7/31/2015,DICKENSONHALLDEM01,"12,041 ",KWH,$706.30 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201508,7/31/2015,8/27/2015,DICKENSONHALLDEM01,"9,697 ",KWH,$588.02 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201509,8/27/2015,9/29/2015,DICKENSONHALLDEM01,"17,757 ",KWH,"$1,038.87 ",,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201510,9/29/2015,10/28/2015,DICKENSONHALLDEM01,"15,587 ",KWH,$932.02 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201511,10/28/2015,12/1/2015,DICKENSONHALLDEM01,"18,131 ",KWH,"$1,096.65 ",,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201512,12/1/2015,12/31/2015,DICKENSONHALLDEM01,"13,515 ",KWH,$853.77 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201601,12/31/2015,2/1/2016,DICKENSONHALLDEM01,"14,254 ",KWH,$891.69 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201602,2/1/2016,3/1/2016,DICKENSONHALLDEM01,"15,566 ",KWH,$949.97 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201603,3/1/2016,3/31/2016,DICKENSONHALLDEM01,"14,278 ",KWH,$916.63 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201604,3/31/2016,4/29/2016,DICKENSONHALLDEM01,"14,539 ",KWH,$875.97 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201605,4/29/2016,5/31/2016,DICKENSONHALLDEM01,"12,539 ",KWH,$779.91 ,,
Dickenson Hall,Electric,DICKENSONHALLDEM01,201606,5/31/2016,6/29/2016,DICKENSONHALLDEM01,"11,650 ",KWH,$699.37 ,,
Dominion Hall,Electric,DOMINIONHALLDEM01,201507,6/30/2015,7/31/2015,DOMINIONHALLDEM01,"34,569 ",KWH,"$2,027.75 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201508,7/31/2015,8/27/2015,DOMINIONHALLDEM01,"32,346 ",KWH,"$1,961.43 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201509,8/27/2015,9/29/2015,DOMINIONHALLDEM01,"51,346 ",KWH,"$3,003.99 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201510,9/29/2015,10/28/2015,DOMINIONHALLDEM01,"43,558 ",KWH,"$2,604.55 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201511,10/28/2015,12/1/2015,DOMINIONHALLDEM01,"51,364 ",KWH,"$3,106.75 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201512,12/1/2015,12/31/2015,DOMINIONHALLDEM01,"46,930 ",KWH,"$2,964.68 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201601,12/31/2015,2/1/2016,DOMINIONHALLDEM01,"50,522 ",KWH,"$3,160.50 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201602,2/1/2016,3/1/2016,DOMINIONHALLDEM01,"50,746 ",KWH,"$3,096.96 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201603,3/1/2016,3/31/2016,DOMINIONHALLDEM01,"46,117 ",KWH,"$2,960.64 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201604,3/31/2016,4/29/2016,DOMINIONHALLDEM01,"42,904 ",KWH,"$2,584.96 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201605,4/29/2016,5/31/2016,DOMINIONHALLDEM01,"36,966 ",KWH,"$2,299.25 ",,
Dominion Hall,Electric,DOMINIONHALLDEM01,201606,5/31/2016,6/29/2016,DOMINIONHALLDEM01,"31,739 ",KWH,"$1,905.36 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201507,6/30/2015,7/31/2015,EASTERNSHOREDEM01,"55,805 ",KWH,"$3,273.41 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201508,7/31/2015,8/27/2015,EASTERNSHOREDEM01,"44,192 ",KWH,"$2,679.77 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201509,8/27/2015,9/29/2015,EASTERNSHOREDEM01,"62,740 ",KWH,"$3,670.59 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201510,9/29/2015,10/28/2015,EASTERNSHOREDEM01,"53,036 ",KWH,"$3,171.28 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201511,10/28/2015,12/1/2015,EASTERNSHOREDEM01,"63,266 ",KWH,"$3,826.65 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201512,12/1/2015,12/31/2015,EASTERNSHOREDEM01,"51,556 ",KWH,"$3,256.91 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201601,12/31/2015,2/1/2016,EASTERNSHOREDEM01,"54,846 ",KWH,"$3,430.99 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201602,2/1/2016,3/1/2016,EASTERNSHOREDEM01,"53,577 ",KWH,"$3,269.73 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201603,3/1/2016,3/31/2016,EASTERNSHOREDEM01,"53,030 ",KWH,"$3,404.45 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201604,3/31/2016,4/29/2016,EASTERNSHOREDEM01,"52,437 ",KWH,"$3,159.33 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201605,4/29/2016,5/31/2016,EASTERNSHOREDEM01,"54,123 ",KWH,"$3,366.40 ",,
Eastern Shore,Electric,EASTERN_SHORE_DEM,201606,5/31/2016,6/29/2016,EASTERNSHOREDEM01,"52,274 ",KWH,"$3,138.12 ",,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201507,6/30/2015,7/31/2015,EISENHOWERHALLDEM01,"4,428 ",KWH,$259.74 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201508,7/31/2015,8/27/2015,EISENHOWERHALLDEM01,"4,358 ",KWH,$264.27 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201509,8/27/2015,9/29/2015,EISENHOWERHALLDEM01,"5,381 ",KWH,$314.81 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201510,9/29/2015,10/28/2015,EISENHOWERHALLDEM01,"6,129 ",KWH,$366.48 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201511,10/28/2015,12/1/2015,EISENHOWERHALLDEM01,"11,811 ",KWH,$714.39 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201512,12/1/2015,12/31/2015,EISENHOWERHALLDEM01,"9,035 ",KWH,$570.76 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201601,12/31/2015,2/1/2016,EISENHOWERHALLDEM01,"9,458 ",KWH,$591.66 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201602,2/1/2016,3/1/2016,EISENHOWERHALLDEM01,"8,787 ",KWH,$536.26 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201603,3/1/2016,3/31/2016,EISENHOWERHALLDEM01,"10,089 ",KWH,$647.70 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201604,3/31/2016,4/29/2016,EISENHOWERHALLDEM01,"6,432 ",KWH,$387.53 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201605,4/29/2016,5/31/2016,EISENHOWERHALLDEM01,"5,614 ",KWH,$349.19 ,,
Eisenhower Hall,Electric,EISENHOWER_HALL_DEM,201606,5/31/2016,6/29/2016,EISENHOWERHALLDEM01,"4,480 ",KWH,$268.94 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201507,6/30/2015,7/31/2015,ESSEXHALLDEM01,"5,361 ",KWH,$314.47 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201508,7/31/2015,8/27/2015,ESSEXHALLDEM01,"3,689 ",KWH,$223.70 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201509,8/27/2015,9/29/2015,ESSEXHALLDEM01,"15,557 ",KWH,$910.16 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201510,9/29/2015,10/28/2015,ESSEXHALLDEM01,"9,310 ",KWH,$556.69 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201511,10/28/2015,12/1/2015,ESSEXHALLDEM01,"15,353 ",KWH,$928.63 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201512,12/1/2015,12/31/2015,ESSEXHALLDEM01,"12,135 ",KWH,$766.60 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201601,12/31/2015,2/1/2016,ESSEXHALLDEM01,"13,110 ",KWH,$820.12 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201602,2/1/2016,3/1/2016,ESSEXHALLDEM01,"14,786 ",KWH,$902.37 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201603,3/1/2016,3/31/2016,ESSEXHALLDEM01,"13,757 ",KWH,$883.18 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201604,3/31/2016,4/29/2016,ESSEXHALLDEM01,"15,311 ",KWH,$922.49 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201605,4/29/2016,5/31/2016,ESSEXHALLDEM01,"11,784 ",KWH,$732.95 ,,
Essex Hall,Electric,ESSEX_HALL_DEM,201606,5/31/2016,6/29/2016,ESSEXHALLDEM01,"9,030 ",KWH,$542.09 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201507,6/30/2015,7/31/2015,FRANKLINHALLDEM01,"4,720 ",KWH,$276.87 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201508,7/31/2015,8/27/2015,FRANKLINHALLDEM01,"4,541 ",KWH,$275.36 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201509,8/27/2015,9/29/2015,FRANKLINHALLDEM01,"13,311 ",KWH,$778.76 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201510,9/29/2015,10/28/2015,FRANKLINHALLDEM01,"7,852 ",KWH,$469.51 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201511,10/28/2015,12/1/2015,FRANKLINHALLDEM01,"13,884 ",KWH,$839.77 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201512,12/1/2015,12/31/2015,FRANKLINHALLDEM01,"11,044 ",KWH,$697.67 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201601,12/31/2015,2/1/2016,FRANKLINHALLDEM01,"11,499 ",KWH,$719.34 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201602,2/1/2016,3/1/2016,FRANKLINHALLDEM01,"12,038 ",KWH,$734.66 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201603,3/1/2016,3/31/2016,FRANKLINHALLDEM01,"11,609 ",KWH,$745.28 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201604,3/31/2016,4/29/2016,FRANKLINHALLDEM01,"11,339 ",KWH,$683.17 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201605,4/29/2016,5/31/2016,FRANKLINHALLDEM01,"10,391 ",KWH,$646.31 ,,
Franklin Hall,Electric,FRANKLIN_HALL_DEM,201606,5/31/2016,6/29/2016,FRANKLINHALLDEM01,"8,895 ",KWH,$533.99 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201507,6/30/2015,7/31/2015,GRAYSONHALLDEM01,"4,350 ",KWH,$255.16 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201508,7/31/2015,8/27/2015,GRAYSONHALLDEM01,"3,601 ",KWH,$218.36 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201509,8/27/2015,9/29/2015,GRAYSONHALLDEM01,"13,696 ",KWH,$801.28 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201510,9/29/2015,10/28/2015,GRAYSONHALLDEM01,"7,499 ",KWH,$448.40 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201511,10/28/2015,12/1/2015,GRAYSONHALLDEM01,"13,622 ",KWH,$823.93 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201512,12/1/2015,12/31/2015,GRAYSONHALLDEM01,"10,335 ",KWH,$652.89 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201601,12/31/2015,2/1/2016,GRAYSONHALLDEM01,"10,585 ",KWH,$662.16 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201602,2/1/2016,3/1/2016,GRAYSONHALLDEM01,"12,209 ",KWH,$745.10 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201603,3/1/2016,3/31/2016,GRAYSONHALLDEM01,"11,447 ",KWH,$734.88 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201604,3/31/2016,4/29/2016,GRAYSONHALLDEM01,"12,039 ",KWH,$725.35 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201605,4/29/2016,5/31/2016,GRAYSONHALLDEM01,"9,763 ",KWH,$607.25 ,,
Grayson Hall,Electric,GRAYSON_HALL_DEM,201606,5/31/2016,6/29/2016,GRAYSONHALLDEM01,"7,680 ",KWH,$461.05 ,,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201507,6/30/2015,7/31/2015,HAMPTONROADSDEM01,"68,525 ",KWH,"$4,019.54 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201508,7/31/2015,8/27/2015,HAMPTONROADSDEM01,"62,059 ",KWH,"$3,763.21 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201509,8/27/2015,9/29/2015,HAMPTONROADSDEM01,"101,540 ",KWH,"$5,940.58 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201510,9/29/2015,10/28/2015,HAMPTONROADSDEM01,"85,242 ",KWH,"$5,097.04 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201511,10/28/2015,12/1/2015,HAMPTONROADSDEM01,"97,140 ",KWH,"$5,875.52 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201512,12/1/2015,12/31/2015,HAMPTONROADSDEM01,"78,832 ",KWH,"$4,980.00 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201601,12/31/2015,2/1/2016,HAMPTONROADSDEM01,"82,556 ",KWH,"$5,164.45 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201602,2/1/2016,3/1/2016,HAMPTONROADSDEM01,"88,220 ",KWH,"$5,383.95 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201603,3/1/2016,3/31/2016,HAMPTONROADSDEM01,"84,218 ",KWH,"$5,406.67 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201604,3/31/2016,4/29/2016,HAMPTONROADSDEM01,"85,801 ",KWH,"$5,169.51 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201605,4/29/2016,5/31/2016,HAMPTONROADSDEM01,"74,067 ",KWH,"$4,606.90 ",,
Hampton Roads,Electric,HAMPTON_ROADS_DEM,201606,5/31/2016,6/29/2016,HAMPTONROADSDEM01,"60,796 ",KWH,"$3,649.71 ",,
Hanover Hall,Electric,HANOVER_HALL_DEM,201507,6/30/2015,7/31/2015,HANOVERHALLDEM01,"11,929 ",KWH,$699.73 ,,
Hanover Hall,Electric,HANOVER_HALL_DEM,201508,7/31/2015,8/27/2015,HANOVERHALLDEM01,"9,774 ",KWH,$592.69 ,,
Hanover Hall,Electric,HANOVER_HALL_DEM,201509,8/27/2015,9/29/2015,HANOVERHALLDEM01,"17,091 ",KWH,$999.91 ,,
Hanover Hall,Electric,HANOVER_HALL_DEM,201510,9/29/2015,10/28/2015,HANOVERHALLDEM01,"14,624 ",KWH,$874.44 ,,
