Date,FY17,FY18,FY19,FY20
28-Feb,67,62,46,
1-Mar,75,55,37,
2-Mar,60,51,48,
3-Mar,41,49,42,
4-Mar,42,50,40,
5-Mar,39,46,41,
6-Mar,53,43,31,
7-Mar,68,50,42,
8-Mar,66,44,38,
9-Mar,71,43,40,
10-Mar,56,49,63,
11-Mar,38,50,62,
12-Mar,41,42,52,
13-Mar,46,47,61,
14-Mar,37,41,75,
15-Mar,31,53,77,
16-Mar,39,45,54,
17-Mar,50,44,52,
18-Mar,57,58,51,
19-Mar,51,60,51,
20-Mar,54,44,55,
21-Mar,62,34,46,
22-Mar,59,44,50,
23-Mar,48,49,52,
24-Mar,62,49,65,
25-Mar,78,47,62,
26-Mar,62,49,49,
27-Mar,75,43,53,
28-Mar,71,53,64,
29-Mar,65,76,68,
30-Mar,53,72,77,
31-Mar,48,61,66,
1-Apr,58,65,49,
2-Apr,64,50,48,
3-Apr,67,52,70,
4-Apr,79,69,68,
5-Apr,73,54,51,
6-Apr,62,71,69,
7-Apr,48,58,72,
8-Apr,63,51,82,
9-Apr,72,43,79,
10-Apr,81,53,70,
11-Apr,86,59,60,
12-Apr,77,77,68,
13-Apr,69,86,75,
14-Apr,62,84,76,
15-Apr,78,71,73,
16-Apr,86,53,68,
17-Apr,71,45,73,
18-Apr,73,62,81,
19-Apr,62,58,74,
20-Apr,82,60,72,
21-Apr,84,63,68,
22-Apr,65,68,72,
23-Apr,60,69,83,
24-Apr,57,62,75,
25-Apr,59,62,74,
26-Apr,73,71,75,
27-Apr,82,64,70,
28-Apr,84,77,74,
29-Apr,89,55,61,
30-Apr,86,71,83,
1-May,81,82,67,
2-May,76,88,87,
3-May,63,90,83,
4-May,65,90,75,
5-May,75,73,66,
6-May,63,68,77,
7-May,62,77,81,
8-May,64,76,68,
9-May,66,78,77,
10-May,75,82,80,
11-May,59,82,66,
12-May,56,90,58,
13-May,60,73,58,
14-May,80,81,61,
15-May,75,89,74,
16-May,81,74,78,
17-May,92,69,83,
18-May,90,68,85,
19-May,90,67,89,
20-May,71,87,88,
21-May,67,82,71,
22-May,73,80,71,
23-May,65,80,88,
24-May,65,84,84,
25-May,73,86,81,
26-May,76,88,90,
27-May,72,86,84,
28-May,74,73,90,
29-May,82,83,91,
30-May,73,78,88,
31-May,83,83,85,
1-Jun,82,88,84,
2-Jun,80,82,84,
3-Jun,84,71,73,
4-Jun,86,79,76,
5-Jun,77,80,81,
6-Jun,77,74,88,
7-Jun,69,80,80,
8-Jun,77,85,82,
9-Jun,80,88,73,
10-Jun,87,79,72,
11-Jun,91,65,78,
12-Jun,91,76,77,
13-Jun,95,83,77,
14-Jun,90,84,77,
15-Jun,85,83,82,
16-Jun,80,86,86,
17-Jun,86,88,90,
18-Jun,91,94,87,
19-Jun,87,93,87,
20-Jun,86,84,91,
21-Jun,88,82,83,
22-Jun,86,72,82,
23-Jun,87,78,84,
24-Jun,86,87,90,
25-Jun,85,83,89,
26-Jun,81,82,91,
27-Jun,80,80,95,
28-Jun,80,87,92,
29-Jun,89,90,95,
30-Jun,92,92,91,
,,,,
,,,,
,,,,
